date,neo_id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,is_sentry_object,close_approach_date,close_approach_date_full,relative_velocity_kph,relative_velocity_kps,miss_distance_km,miss_distance_lunar,miss_distance_au,orbiting_body,nasa_jpl_url
2020-07-03,3766594,3766594,(2017 BY),25.5,0.0211132445,0.0472106499,False,False,2020-07-03,2020-Jul-03 16:25,26888.3068902162,7.4689741362,67916783.485887608,176.6043111176,0.4539956584,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3766594
2020-07-03,3757875,3757875,(2016 QA11),24.7,0.0305179233,0.0682401509,False,False,2020-07-03,2020-Jul-03 11:11,13531.6283416053,3.7587856504,72854413.894743304,189.4436532088,0.4870016792,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3757875
2020-07-03,3736516,3736516,(2015 XW261),21.39,0.1401376972,0.3133574171,False,False,2020-07-03,2020-Jul-03 13:56,78629.0937491171,21.8414149303,21484265.295844706,55.8656296382,0.1436134438,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3736516
2020-07-03,2288592,2288592,288592 (2004 JW20),20.87,0.1780553292,0.3981438198,False,False,2020-07-03,2020-Jul-03 10:04,47974.7185488083,13.326310708,69365199.831968519,180.3706345193,0.4636777237,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2288592
2020-07-04,2585428,2585428,585428 (2018 NP1),20.97,0.1700415193,0.3802243961,False,False,2020-07-04,2020-Jul-04 15:36,50669.5439856434,14.0748733293,43986987.983839276,114.3795585172,0.2940348548,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2585428
2020-07-04,3836889,3836889,(2018 XB4),24.0,0.0421264611,0.0941976306,False,False,2020-07-04,2020-Jul-04 21:18,49103.9795934158,13.6399943315,36364733.874553923,94.5593775981,0.2430832329,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3836889
2020-07-04,3825580,3825580,(2018 NP1),20.94,0.1724070324,0.3855138443,False,False,2020-07-04,2020-Jul-04 15:36,50669.5394940606,14.0748720817,43986986.936654186,114.3795557942,0.2940348478,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3825580
2020-07-04,3795154,3795154,(2017 YD8),21.87,0.1123453177,0.2512117673,False,False,2020-07-04,2020-Jul-04 04:56,45870.225185831,12.7417292183,66062373.0166603,171.78227941,0.44159969,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3795154
2020-07-04,3789428,3789428,(2017 VE15),24.8,0.0291443905,0.0651688382,False,False,2020-07-04,2020-Jul-04 08:23,22512.5709579177,6.2534919328,70590275.593850778,183.5562044166,0.4718668494,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3789428
2020-07-04,3780808,3780808,(2017 OV68),21.61,0.1266353563,0.283165265,False,False,2020-07-04,2020-Jul-04 03:24,13954.4392457968,3.8762331238,59281218.599974001,154.1492137247,0.3962704723,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3780808
